strategy,source,strategy_style,asset,category,timeframe,tf_style,final_capital_inr,profit_inr,return_pct,sharpe,sortino,calmar,max_dd_pct,win_rate_pct,profit_factor,num_trades,avg_trade_inr,dd_under_15pct,grade
Swappy_3C_Scalping,YouTube @SwappyTrading0101,Intraday,EURUSD,Forex,1m,Intraday,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
GautamJha_Liquidity_Breakout,YouTube @gautammjhaa,Intraday,EURUSD,Forex,1m,Intraday,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
UmarPunjabi_Gold_London,YouTube @UmarPunjabiLive,Intraday,EURUSD,Forex,1m,Intraday,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
VolumeProfile_POC,New-Gen: Volume Profile,Swing,EURUSD,Forex,1m,Intraday,8039.42,-1960.58,-19.61,-43.067,-51.29,-1.0,-19.61,0.0,0.0,22,-89.12,❌,F
Footprint_Delta_CVD,New-Gen: Footprint/CVD,Intraday,EURUSD,Forex,1m,Intraday,9142.2,-857.8,-8.58,-27.372,-19.066,-1.0,-8.58,0.0,0.0,9,-95.31,✅,F
GEX_Gamma_Exposure,New-Gen: GEX Proxy,Intraday,EURUSD,Forex,1m,Intraday,5182.45,-4817.55,-48.18,-74.118,-138.234,-1.0,-48.18,0.0,0.0,63,-76.47,❌,F
Heatmap_Liquidity,New-Gen: Liquidity Heatmap,Intraday,EURUSD,Forex,1m,Intraday,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
TPO_Market_Profile,New-Gen: TPO/Market Profile,Swing,EURUSD,Forex,1m,Intraday,4029.61,-5970.39,-59.7,-89.938,-119.8,-1.0,-59.7,0.0,0.0,93,-64.2,❌,F
VWAP_Bands,New-Gen: VWAP ±2σ Bands,Intraday,EURUSD,Forex,1m,Intraday,5405.32,-4594.68,-45.95,-73.531,-96.513,-1.0,-45.95,0.0,0.0,63,-72.93,❌,F
CVD_Composite_Flagship,New-Gen: CVD+VWAP+VolProfile+Liquidity,Swing,EURUSD,Forex,1m,Intraday,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
Swappy_3C_Scalping,YouTube @SwappyTrading0101,Intraday,EURUSD,Forex,5m,Intraday,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
GautamJha_Liquidity_Breakout,YouTube @gautammjhaa,Intraday,EURUSD,Forex,5m,Intraday,9927.77,-72.23,-0.72,-4.095,0.0,-1.0,-0.72,0.0,0.0,1,-72.23,✅,F
UmarPunjabi_Gold_London,YouTube @UmarPunjabiLive,Intraday,EURUSD,Forex,5m,Intraday,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
VolumeProfile_POC,New-Gen: Volume Profile,Swing,EURUSD,Forex,5m,Intraday,8806.72,-1193.28,-11.93,-14.589,-8.035,-1.0,-11.93,0.0,0.0,13,-91.79,✅,F
Footprint_Delta_CVD,New-Gen: Footprint/CVD,Intraday,EURUSD,Forex,5m,Intraday,9090.87,-909.13,-9.09,-12.648,-4.792,-1.0,-9.09,0.0,0.0,10,-90.91,✅,F
GEX_Gamma_Exposure,New-Gen: GEX Proxy,Intraday,EURUSD,Forex,5m,Intraday,5122.94,-4877.06,-48.77,-32.608,-28.294,-1.0,-48.77,1.5,0.002,66,-73.89,❌,F
Heatmap_Liquidity,New-Gen: Liquidity Heatmap,Intraday,EURUSD,Forex,5m,Intraday,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
TPO_Market_Profile,New-Gen: TPO/Market Profile,Swing,EURUSD,Forex,5m,Intraday,3335.79,-6664.21,-66.64,-38.787,-26.928,-1.0,-66.64,1.0,0.002,101,-65.98,❌,F
VWAP_Bands,New-Gen: VWAP ±2σ Bands,Intraday,EURUSD,Forex,5m,Intraday,5209.31,-4790.69,-47.91,-32.271,-19.923,-1.0,-47.91,0.0,0.0,69,-69.43,❌,F
CVD_Composite_Flagship,New-Gen: CVD+VWAP+VolProfile+Liquidity,Swing,EURUSD,Forex,5m,Intraday,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
Swappy_3C_Scalping,YouTube @SwappyTrading0101,Intraday,EURUSD,Forex,15m,Intraday,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
GautamJha_Liquidity_Breakout,YouTube @gautammjhaa,Intraday,EURUSD,Forex,15m,Intraday,9840.86,-159.14,-1.59,-3.298,-0.575,-1.0,-1.59,0.0,0.0,2,-79.57,✅,F
UmarPunjabi_Gold_London,YouTube @UmarPunjabiLive,Intraday,EURUSD,Forex,15m,Intraday,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
VolumeProfile_POC,New-Gen: Volume Profile,Swing,EURUSD,Forex,15m,Intraday,8422.94,-1577.06,-15.77,-9.357,-2.673,-1.0,-15.77,0.0,0.0,19,-83.0,❌,F
Footprint_Delta_CVD,New-Gen: Footprint/CVD,Intraday,EURUSD,Forex,15m,Intraday,9195.02,-804.98,-8.05,-6.357,-1.168,-1.0,-8.05,0.0,0.0,9,-89.44,✅,F
GEX_Gamma_Exposure,New-Gen: GEX Proxy,Intraday,EURUSD,Forex,15m,Intraday,5495.03,-4504.97,-45.05,-17.852,-9.145,-1.0,-45.05,2.7,0.01,73,-61.71,❌,F
Heatmap_Liquidity,New-Gen: Liquidity Heatmap,Intraday,EURUSD,Forex,15m,Intraday,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
TPO_Market_Profile,New-Gen: TPO/Market Profile,Swing,EURUSD,Forex,15m,Intraday,4399.07,-5600.93,-56.01,-19.396,-10.613,-0.996,-56.24,9.2,0.02,98,-57.15,❌,F
VWAP_Bands,New-Gen: VWAP ±2σ Bands,Intraday,EURUSD,Forex,15m,Intraday,6755.95,-3244.05,-32.44,-12.594,-4.067,-1.0,-32.44,7.4,0.038,54,-60.07,❌,F
CVD_Composite_Flagship,New-Gen: CVD+VWAP+VolProfile+Liquidity,Swing,EURUSD,Forex,15m,Intraday,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
Swappy_3C_Scalping,YouTube @SwappyTrading0101,Intraday,EURUSD,Forex,1h,Swing,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
GautamJha_Liquidity_Breakout,YouTube @gautammjhaa,Intraday,EURUSD,Forex,1h,Swing,9997.03,-2.97,-0.03,-0.149,0.0,-0.148,-0.2,50.0,0.853,2,-1.49,✅,F
UmarPunjabi_Gold_London,YouTube @UmarPunjabiLive,Intraday,EURUSD,Forex,1h,Swing,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
VolumeProfile_POC,New-Gen: Volume Profile,Swing,EURUSD,Forex,1h,Swing,9479.49,-520.51,-5.21,-3.914,-1.078,-1.0,-5.21,8.3,0.048,12,-43.38,✅,F
Footprint_Delta_CVD,New-Gen: Footprint/CVD,Intraday,EURUSD,Forex,1h,Swing,9941.23,-58.77,-0.59,-1.347,0.0,-1.0,-0.59,0.0,0.0,1,-58.77,✅,F
GEX_Gamma_Exposure,New-Gen: GEX Proxy,Intraday,EURUSD,Forex,1h,Swing,7789.5,-2210.5,-22.11,-7.967,-4.132,-0.985,-22.44,15.3,0.061,59,-37.47,❌,F
Heatmap_Liquidity,New-Gen: Liquidity Heatmap,Intraday,EURUSD,Forex,1h,Swing,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
TPO_Market_Profile,New-Gen: TPO/Market Profile,Swing,EURUSD,Forex,1h,Swing,6854.47,-3145.53,-31.46,-7.143,-3.672,-0.992,-31.72,20.0,0.191,85,-37.01,❌,F
VWAP_Bands,New-Gen: VWAP ±2σ Bands,Intraday,EURUSD,Forex,1h,Swing,8292.15,-1707.85,-17.08,-6.064,-2.325,-0.968,-17.64,22.0,0.147,59,-28.95,❌,F
CVD_Composite_Flagship,New-Gen: CVD+VWAP+VolProfile+Liquidity,Swing,EURUSD,Forex,1h,Swing,9963.29,-36.71,-0.37,-1.347,0.0,-1.0,-0.37,0.0,0.0,1,-36.71,✅,F
Swappy_3C_Scalping,YouTube @SwappyTrading0101,Intraday,EURUSD,Forex,4h,Swing,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
GautamJha_Liquidity_Breakout,YouTube @gautammjhaa,Intraday,EURUSD,Forex,4h,Swing,10057.14,57.14,0.57,1.02,0.0,5714418.206,0.0,100.0,0.0,2,28.57,✅,F
UmarPunjabi_Gold_London,YouTube @UmarPunjabiLive,Intraday,EURUSD,Forex,4h,Swing,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
VolumeProfile_POC,New-Gen: Volume Profile,Swing,EURUSD,Forex,4h,Swing,9592.93,-407.07,-4.07,-1.919,-0.385,-1.0,-4.07,25.0,0.077,12,-33.92,✅,F
Footprint_Delta_CVD,New-Gen: Footprint/CVD,Intraday,EURUSD,Forex,4h,Swing,9859.09,-140.91,-1.41,-0.789,-0.073,-0.85,-1.66,60.0,0.23,5,-28.18,✅,F
GEX_Gamma_Exposure,New-Gen: GEX Proxy,Intraday,EURUSD,Forex,4h,Swing,8833.86,-1166.14,-11.66,-3.076,-1.204,-1.0,-11.66,27.7,0.184,47,-24.81,✅,F
